gamma,robust solution
0,96116.0
1,96359.67
2,96599.36
3,96833.81999999999
4,97068.20999999999
5,97299.93
6,97531.29000000001
7,97760.56999999998
8,97977.68999999999
9,98191.78
10,98405.28
11,98612.77
12,98818.5
13,99024.23000000001
14,99228.71
15,99432.84999999999
16,99636.15
17,99838.43000000001
18,100039.16999999998
19,100238.21999999999
20,100434.26
21,100630.11999999998
22,100825.30999999997
23,101020.20999999998
24,101215.09000000001
25,101409.93000000001
26,101604.13
27,101798.05
28,101991.18
29,102184.08
30,102374.72
31,102564.31999999999
32,102753.65
33,102942.29999999999
34,103130.73
35,103318.93
36,103506.67
37,103694.08
38,103880.93000000001
39,104066.52999999998
40,104251.55999999998
41,104435.32999999999
42,104619.00999999998
43,104802.59999999998
44,104984.30999999998
45,105165.73999999999
46,105346.34
47,105525.46999999999
48,105703.81999999999
49,105881.55
50,106058.97
51,106236.38000000002
52,106413.15000000002
53,106589.16999999998
54,106765.17999999998
55,106941.12999999999
56,107114.23999999999
57,107287.28999999998
58,107458.96999999999
59,107629.66999999997
60,107799.62999999998
61,107966.84999999999
62,108132.76000000002
63,108295.89000000003
64,108458.37000000002
65,108620.67000000003
66,108781.04000000002
67,108940.95000000001
68,109099.47000000002
69,109257.49000000002
70,109414.83000000003
71,109571.02
72,109727.04000000001
73,109880.90999999997
74,110034.36999999997
75,110185.27999999997
76,110332.48999999998
77,110479.65999999996
78,110624.29999999996
79,110768.85999999997
80,110913.28999999998
81,111057.63
82,111201.61999999998
83,111344.83999999998
84,111486.54000000004
85,111628.12999999998
86,111769.08999999995
87,111909.65999999995
88,112049.95
89,112187.57999999996
90,112324.96999999997
91,112460.49999999994
92,112595.99999999994
93,112730.88999999994
94,112864.95999999995
95,112998.24999999994
96,113130.31999999995
97,113260.88999999994
98,113390.98000000004
99,113520.77999999998
100,113650.13999999997
